set,collector_number,language,treatment,object_type,name,scryfall_id,layout,type_line,frame_effects,promo_types,source_finish_options,finish,physical_pairing,finish_detail
HOB,43,English,Default,card,Lakeshore Apothecary,abfbb255-a39b-4df5-bfb6-5298584e89f0,normal,Creature — Human Cleric,,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,44,English,Default,card,Lake-town Mariners // Gone Fishing,4202a678-a5f4-47f9-9c18-e88ab9ad20a4,adventure,Creature — Human Citizen // Instant — Adventure,,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,44,English,Default,card,Lake-town Mariners // Gone Fishing,4202a678-a5f4-47f9-9c18-e88ab9ad20a4,adventure,Creature — Human Citizen // Instant — Adventure,,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,45,English,Default,card,Long Lake Nuisance,cd5af94d-6321-4834-8e5f-e5d0261b3ef3,normal,Creature — Bird,,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,45,English,Default,card,Long Lake Nuisance,cd5af94d-6321-4834-8e5f-e5d0261b3ef3,normal,Creature — Bird,,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,46,English,Default,card,The Lord of the Eagles,fa0554fc-9448-4ae2-8712-4f4f7af3c7b4,normal,Legendary Creature — Bird Noble,legendary,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,46,English,Default,card,The Lord of the Eagles,fa0554fc-9448-4ae2-8712-4f4f7af3c7b4,normal,Legendary Creature — Bird Noble,legendary,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,47,English,Default,card,Master's Councillors,addcefdd-e012-4adf-9052-e60376a8d2d3,normal,Creature — Human Advisor,,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,47,English,Default,card,Master's Councillors,addcefdd-e012-4adf-9052-e60376a8d2d3,normal,Creature — Human Advisor,,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,48,English,Default,card,Mirkwood Meditator,ad7ed4e6-3fe2-40f1-909b-a03b2a3c941a,normal,Creature — Elf Druid,,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,48,English,Default,card,Mirkwood Meditator,ad7ed4e6-3fe2-40f1-909b-a03b2a3c941a,normal,Creature — Elf Druid,,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,49,English,Default,card,Most Decrepit Old Bird // Speak Secrets,2d838feb-89f2-4cdb-a5ab-ec880f28d873,adventure,Creature — Bird // Sorcery — Adventure,,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,49,English,Default,card,Most Decrepit Old Bird // Speak Secrets,2d838feb-89f2-4cdb-a5ab-ec880f28d873,adventure,Creature — Bird // Sorcery — Adventure,,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,50,English,Default,card,Old Fat Spider Can't See Me,4a865cea-f947-4736-8ace-ba478fceeb22,saga,Enchantment — Saga,enchantment,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,50,English,Default,card,Old Fat Spider Can't See Me,4a865cea-f947-4736-8ace-ba478fceeb22,saga,Enchantment — Saga,enchantment,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,51,English,Default,card,Plunder the Trollshaws,afb73190-b9bd-4744-a011-a37cd9c0148d,normal,Instant,,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,51,English,Default,card,Plunder the Trollshaws,afb73190-b9bd-4744-a011-a37cd9c0148d,normal,Instant,,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,52,English,Default,card,Ravenhill Flock,acbb4d32-2771-469e-a6de-0df15155cc62,normal,Creature — Bird,,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,52,English,Default,card,Ravenhill Flock,acbb4d32-2771-469e-a6de-0df15155cc62,normal,Creature — Bird,,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,53,English,Default,card,Riddles in the Dark,a6129286-7437-4ba4-be55-586a22cd67ca,normal,Instant,,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,53,English,Default,card,Riddles in the Dark,a6129286-7437-4ba4-be55-586a22cd67ca,normal,Instant,,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,54,English,Default,card,Roll-Roll-Roll-Roll,a2e4099e-86bd-461f-87fa-7f7850ae7eec,saga,Enchantment — Saga,enchantment,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,54,English,Default,card,Roll-Roll-Roll-Roll,a2e4099e-86bd-461f-87fa-7f7850ae7eec,saga,Enchantment — Saga,enchantment,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,55,English,Default,card,Sound the Trumpets,dd32a1dd-3541-4572-a717-1deabc14b827,normal,Instant,,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,55,English,Default,card,Sound the Trumpets,dd32a1dd-3541-4572-a717-1deabc14b827,normal,Instant,,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,56,English,Default,card,Thranduil's Decree,e4ded4c1-0e3e-47c5-8fdc-e7c187f68b12,normal,Instant,,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,56,English,Default,card,Thranduil's Decree,e4ded4c1-0e3e-47c5-8fdc-e7c187f68b12,normal,Instant,,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,57,English,Default,card,Uncover the Moon-Letters,79edf5f6-f6b6-4271-bd2a-14a980f30616,normal,Enchantment,enchantment,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,57,English,Default,card,Uncover the Moon-Letters,79edf5f6-f6b6-4271-bd2a-14a980f30616,normal,Enchantment,enchantment,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,58,English,Default,card,Uneasy Partings,e49866d4-966a-40f9-b08d-18e5af6d726b,normal,Instant,,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,58,English,Default,card,Uneasy Partings,e49866d4-966a-40f9-b08d-18e5af6d726b,normal,Instant,,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
